,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,country,employment_gap,mobilemoney_access_gap
66,,,,,,2.4714285714285715,,,100.0,,97.6,,,82.56292683199999,Faroe Islands,,
67,5800.0,,,38.6,22.0,2.7767142857142857,86.6,,96.0,2.3,50.0,1.55,,67.3546,Fiji,9.0,
68,50010.0,0.0,,31.5,46.0,1.5071428571428573,100.0,99.6,100.0,1.5,87.5,0.06666666666666668,,81.78195122,Finland,-7.299999999999997,0.4000000000000057
69,42450.0,,,32.6,40.0,1.9042857142857144,100.0,99.2,100.0,1.6,80.5,0.05,,82.565365856,France,-6.599999999999994,5.700000000000003
70,,,,,,1.9582857142857146,,83.9,100.0,,72.7,,,77.446,French Polynesia,-7.0,
71,7170.0,,,,16.0,3.9934285714285713,89.6,,86.3,,50.3,3.4,83.47547912499999,66.1202,Gabon,5.199999999999996,10.099999999999994
72,750.0,23.1,16.8,33.7,9.0,5.272285714285714,62.96666666666667,44.7,56.2,,32.0,10.3,46.364009855,61.7548,Gambia The,18.200000000000003,
73,4780.0,13.9,36.1,,19.0,2.052285714285714,99.23333333333333,66.4,100.0,2.7,59.7,5.590000000000001,99.50296274666668,73.58139999999999,Georgia,-6.200000000000003,-5.100000000000001
74,48580.0,,,28.2,35.0,1.5400000000000003,100.0,100.0,100.0,0.8,84.4,0.025,,81.02195121999999,Germany,-4.900000000000006,-0.10000000000000853
75,2220.0,19.3,31.6,26.6,15.0,3.928142857142857,70.55,41.4,79.0,1.9,37.9,11.95,79.03964233,63.757600000000004,Ghana,16.199999999999996,8.099999999999994
